web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629607156-5270","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/d612c07a-0002-4b88-97d6-183ebccd30a8/white-gym-red-dark-grey.png","2019","2019White / Gym Red — Dark Grey"
"1629607156-5256","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/ng21t2lrstlfcdonuc1d/white-black-varsity-red.png","2017","2017White / Black — Varsity Red"
"1629607156-5254","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/vewjq3dcnpv5xw3zehh9/deep-royal-blue-metallic-silver-white.png","2016","2016Deep Royal Blue / Metallic Silver / White"
"1629607156-5257","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/johjvdbtdltvxcwyj4q5/black-varsity-red-white.png","2017","2017Black / Varsity Red — White"
"1629607156-5253","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/y4iflgaxdmitgkgyboac/dark-grey-metallic-silver-black.png","2016","2016Dark Grey / Metallic Silver — Black"
"1629607156-5267","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/fjruryn47sullwpbibwj/black-black-anthracite.png","2018","2018Black / Black — Anthracite"
"1629607156-5252","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/dzbn3lalpgwvurrlacev/white-metallic-gold-white.png","2016","2016White / Metallic Gold — White"
"1629607156-5248","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/ihtmfpvvjyv3mjnglhun/black-varsity-red.png","2016","2016Black / Varsity Red"
"1629607156-5269","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/83f0e932-eb49-4395-8154-bd0e1e09b935/black-white-taxi.png","2019","2019Black / White — Taxi"
"1629607156-5274","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/us1aekcvjkwozi5ailsl/air-jordan-xii-white-powder-blue-pe-melo.png","","White / Powder Blue PE"
"1629607156-5273","https://www.jordan.com/collection/air-jordan-12","","","Have an Air Jordan XII Retro?"
"1629607156-5259","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/zsm6nl42o3fa9l7cnarl/wheat-wheat-gum-light-brown.png","2017","2017Wheat / Wheat — Gum Light Brown"
"1629607156-5262","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/elz26yzsayjm5iorxkhk/bordeaux-sail-metallic-silver.png","2017","2017Bordeaux / Sail — Metallic Silver"
"1629607156-5272","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/2f11768f-b83b-490e-8af7-e0309d8e6831/stone-blue-legend-blue-obsidian.png","2020","2020Stone Blue / Legend Blue — Obsidian"
"1629607156-5249","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/w7wqghwbkyhym5o7mkgf/wolf-grey-university-blue-white-midnight-navy.png","2016","2016Wolf Grey / University Blue / White / Midnight Navy‎"
"1629607156-5250","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/nlybbhyrt2scppvwpbwl/gym-red-black-white.png","2016","2016Gym Red / Black — White"
"1629607156-5261","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/dwrthowyqq197iuv9tw2/bordeaux-bordeaux-.png","2017","2017Bordeaux / Bordeaux"
"1629607156-5255","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/kw6byfbldqitl7jwzess/black-max-orange-anthracite.png","2017","2017Black / Max Orange — Anthracite"
"1629607156-5258","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/pztqzpg9mztv5tw6ca8c/wolf-grey-armory-navy-low.png","2017","2017Wolf Grey / Armory Navy"
"1629607156-5245","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/uqaqmfhg16rpxpaw8sht/black-rattan-white-metallic-gold.png","2016","2016Black / Rattan White — Metallic Gold"
"1629607156-5260","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/hnkdqprli2huidgc8lzw/medium-olive-medium-olive.png","2017","2017Medium Olive / Medium Olive"
"1629607156-5251","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/g1idqs5i2si6y0epi8nr/black-gym-red-white.png","2016","2016Black / Gym Red — White"
"1629607156-5247","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/mn2poh5zv9w9f03bsipj/black-white-metallic-gold.png","2016","2016Black / White / Metallic Gold"
"1629607156-5265","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/hqzqq1b8zll7btqenjrx/college-navy-university-red-sail.png","2018","2018College Navy / University Red — Sail"
"1629607156-5271","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/13252f13-1e12-4c0c-8f07-1d963862973c/black-university-gold.png","2020","2020Black / University Gold"
"1629607156-5246","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/b7ygngykkxsqw5ehjqln/white-french-blue-metallic-silver-varsity-red.png","2016","2016White / French Blue — Metallic Silver — Varsity Red"
"1629607156-5268","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/pmt4sdlgw71tck3rcr8h/black-true-red-sail-metallic-gold.png","2019","2019Black / True Red —Sail — Metallic Gold"
"1629607156-5266","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/qmzpz0yyk8koohbtqz6g/gym-red-black-gym-red.png","2018","2018Gym Red / Black — Gym Red"
"1629607156-5275","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/vabr3py1wdztcryszhnq/vachetta-tan-metallic-gold-sail.png","2018","2018Vachetta Tan / Metallic Gold — Sail"
"1629607156-5263","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/v2c3pax8lngwmc7qknsk/dark-grey-dark-grey-wolf-grey.png","2017","2017Dark Grey / Dark Grey — Wolf Grey"
"1629607156-5276","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/yqratuvhoggampm8dkl7/black-metallic-gold-white.png","2019","2019Black / Metallic Gold — White"
"1629607156-5264","https://www.jordan.com/collection/air-jordan-12","https://static.nike.com/a/images/nk2luyppsrg2tuoe8nld/olive-canvas-metallic-gold-black.png","2018","2018Olive Canvas / Metallic Gold — Black"
