web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629607325-5317","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/awyvosykegvku37h1j7w/black-black-%E2%80%94-white-%E2%80%94-vivid-green.png","2016","2016Black / Black — White — Vivid Green"
"1629607325-5314","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/ullblluqulsjdlaocxcu/challenge-red-black-%E2%80%94-vibrant-yellow.png","2014","2014Challenge Red / Black — Vibrant Yellow"
"1629607325-5316","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/bsipyoanqzqdjkaokxxa/white-black-%E2%80%94-oxidized-green-%E2%80%94-legend-blue-%E2%80%94-metallic-silver%E2%80%8B.png","2016","2016White / Black — Oxidized Green — Legend Blue — Metallic Silver​"
"1629607325-5315","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/s1entkkqnkshk7qxytj8/varsity-royal-black-%E2%80%94-varsity-maize-%E2%80%94-white-low-.png","2015","2015Varsity Royal / Black — Varsity Maize — White"
"1629607325-5322","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/a656cc83-ed10-4e0e-8355-8d42dae5ac6d/black-white-off-white-gym-red-.png","2020","2020Black / White — Off White — Gym Red"
"1629607325-5323","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/2f423834-02cf-438a-803d-c463744228da/white-blackhyper-royal.png","2020","2020White / Black—Hyper Royal"
"1629607325-5318","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/ooqc52e0tht1lf2ih3pr/black-metallic-gold.png","2017","2017Black / Metallic Gold"
"1629607325-5313","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/udo3xgvzbsjwbjhmroo3/white-black-%E2%80%94-varsity-red.png","2014","2014White / Black — Varsity Red"
"1629607325-5321","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/uufhn4svzs4cbfcul0vv/white-black-varsity-red-metallic-silver.png","2019","2019White / Black — Varsity Red — Metallic Silver"
"1629607325-5311","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/gyi9wxtttusj51pab51s/black-vibrant-yellow-%E2%80%94-white.png","2014","2014Black / Vibrant Yellow — White"
"1629607325-5319","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/jey2950lnkaq8llvv5cb/black-varsity-red.png","2018","2018Black / Varsity Red"
"1629607325-5312","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/thpq6ospuvghmrho7byc/wolf-grey-white-%E2%80%94-sport-blue.png","2014","2014Wolf Grey / White — Sport Blue"
"1629607325-5320","https://www.jordan.com/collection/air-jordan-14","https://static.nike.com/a/images/oratxoebot1qhv85gfvs/desert-sand-infared.png","2018","2018Desert Sand / Infared"
