web-scraper-order,web-scraper-start-url,pic-src,name,price
"1629532490-2488","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/229523/1.jpg","AJF 4 GS","Out of stock"
"1629532505-2670","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/011542/1.jpg","Air Jordan 4 Retro GS 'Cement' 2012","$350+"
"1629532513-2739","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/246509/1.jpg","Air Jordan 4 Retro 'White Oreo'","$315+"
"1629532513-2756","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/275667/1.jpg","Air Jordan 4 Retro GS 'DIY'","$164+"
"1629532490-2471","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/134914/1.jpg","Air Jordan 4 Retro 'Wings'","Out of stock"
"1629532492-2528","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/750/TEMPLATE/210199/1.jpg","SBTG x Air Jordan 4 'Sawtooth'","Out of stock"
"1629532497-2571","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/011544/1.jpg","Air Jordan 4 Retro GS 'Voltage Cherry'","$175+"
"1629532503-2647","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/010028/1.jpg","Air Jordan 4 Retro 'Classic Green' 2004","$550+"
"1629532497-2570","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/202357/1.jpg","Air Jordan 4 Retro SE PS 'Lemon Venom'","$99+"
"1629532495-2556","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/placeholders/dash.png?w=360","Off-White x Wmns Air Jordan 4 SP 'Sail' Sa…mple","Out of stock"
"1629532492-2521","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/750/TEMPLATE/010470/1.jpg","Air Jordan 4 Retro GS 'Military Blue' 2006","Out of stock"
"1629532495-2529","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/221634/1.jpg","Air Jordan 4 Retro GP 'Deep Royal Blue'","$66+"
"1629532513-2765","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/254035/1.jpg","Air Jordan 4 Retro GS 'Taupe Haze'","$228+"
"1629532495-2557","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/010417/1.jpg","Air Jordan 4 Retro GS 'Black Cat' 2006","Out of stock"
"1629532503-2643","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/012354/1.jpg","Air Jordan 4 Retro BG 'Alternate 89'","$229+"
"1629532490-2480","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Retro PS 'Metallic Pack - Cou…rt Purple'","Out of stock"
"1629532503-2632","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/247090/1.jpg","Air Jordan 4 Retro OG TD 'Fire Red' 2020","$65+"
"1629532513-2760","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/205832/1.jpg","Wmns Air Jordan 4 Retro 'Starfish'","$130+"
"1629532499-2615","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/010452/1.jpg","Air Jordan 4 Retro LS 'Thunder'","$595+"
"1629532490-2489","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/010374/1.jpg","Air Jordan 4 Retro Pb","Out of stock"
"1629532497-2572","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/011798/1.jpg","Air Jordan 4 Retro GS 'Fear'","$446+"
"1629532492-2503","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/750/TEMPLATE/012045/1.jpg","Air Jordan 4 Retro Pe 'Unc'","Out of stock"
"1629532487-2453","https://www.flightclub.com/air-jordans/air-jordan-4?page=11","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Retro TD 'Voltage Cherry'","Out of stock"
"1629532513-2753","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/803976/1.jpg","Travis Scott x Air Jordan 4 Retro 'Cac…tus Jack'","$975+"
"1629532499-2606","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/138400/1.jpg","Air Jordan 4 Flyknit 'Volt'","$392+"
"1629532513-2750","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/157458/1.jpg","Air Jordan 4 Retro 'Purple Metallic'","$300+"
"1629532499-2601","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/207696/1.jpg","Jordan 4 Retro Metal 'Oreo'","$110+"
